"year","admission_category","statistics","value"
2006,"Caregiver, spouse and dependent","Total with income",1460
2007,"Caregiver, spouse and dependent","Total with income",1205
2008,"Caregiver, spouse and dependent","Total with income",1875
2009,"Caregiver, spouse and dependent","Total with income",2665
2010,"Caregiver, spouse and dependent","Total with income",2415
2011,"Caregiver, spouse and dependent","Total with income",2700
2012,"Caregiver, spouse and dependent","Total with income",2260
2013,"Caregiver, spouse and dependent","Total with income",1815
2014,"Caregiver, spouse and dependent","Total with income",2425
2015,"Caregiver, spouse and dependent","Total with income",7450
2016,"Caregiver, spouse and dependent","Total with income",5910
2001,"Caregiver, spouse and dependent","Mean with income",11200
2002,"Caregiver, spouse and dependent","Mean with income",11800
2003,"Caregiver, spouse and dependent","Mean with income",7300
2004,"Caregiver, spouse and dependent","Mean with income",11900
2005,"Caregiver, spouse and dependent","Mean with income",9900
2006,"Caregiver, spouse and dependent","Mean with income",11600
2007,"Caregiver, spouse and dependent","Mean with income",10900
2008,"Caregiver, spouse and dependent","Mean with income",10400
2009,"Caregiver, spouse and dependent","Mean with income",10300
2010,"Caregiver, spouse and dependent","Mean with income",9900
2011,"Caregiver, spouse and dependent","Mean with income",11300
2012,"Caregiver, spouse and dependent","Mean with income",10900
2013,"Caregiver, spouse and dependent","Mean with income",12300
2014,"Caregiver, spouse and dependent","Mean with income",10400
2015,"Caregiver, spouse and dependent","Mean with income",11500
2016,"Caregiver, spouse and dependent","Mean with income",11700
2001,"Caregiver, spouse and dependent","Median with income",9100
2002,"Caregiver, spouse and dependent","Median with income",10900
2003,"Caregiver, spouse and dependent","Median with income",5500
2004,"Caregiver, spouse and dependent","Median with income",10600
2005,"Caregiver, spouse and dependent","Median with income",8300
2006,"Caregiver, spouse and dependent","Median with income",10000
2007,"Caregiver, spouse and dependent","Median with income",8600
2008,"Caregiver, spouse and dependent","Median with income",8100
2009,"Caregiver, spouse and dependent","Median with income",8700
2010,"Caregiver, spouse and dependent","Median with income",7800
2011,"Caregiver, spouse and dependent","Median with income",9600
2012,"Caregiver, spouse and dependent","Median with income",8600
2013,"Caregiver, spouse and dependent","Median with income",10100
2014,"Caregiver, spouse and dependent","Median with income",7200
2015,"Caregiver, spouse and dependent","Median with income",9700
2016,"Caregiver, spouse and dependent","Median with income",9800
2001,"Refugee","Total count",17120
2002,"Refugee","Total count",15525
2003,"Refugee","Total count",16415
2004,"Refugee","Total count",20765
2005,"Refugee","Total count",23255
2006,"Refugee","Total count",20720
2007,"Refugee","Total count",17450
2008,"Refugee","Total count",13370
2009,"Refugee","Total count",14330
2010,"Refugee","Total count",15705
2011,"Refugee","Total count",17830
2012,"Refugee","Total count",14335
2013,"Refugee","Total count",15430
2014,"Refugee","Total count",15260
2015,"Refugee","Total count",19515
2016,"Refugee","Total count",31275
2001,"Refugee","Total with income",8205
2002,"Refugee","Total with income",7190
2003,"Refugee","Total with income",8200
2004,"Refugee","Total with income",11650
2005,"Refugee","Total with income",13435
2006,"Refugee","Total with income",11305
2007,"Refugee","Total with income",8915
2008,"Refugee","Total with income",6315
2009,"Refugee","Total with income",6020
2010,"Refugee","Total with income",6885
2011,"Refugee","Total with income",8235
2012,"Refugee","Total with income",6845
2013,"Refugee","Total with income",7380
2014,"Refugee","Total with income",6800
2015,"Refugee","Total with income",7240
2016,"Refugee","Total with income",11265
2001,"Refugee","Mean with income",15700
2002,"Refugee","Mean with income",15700
2003,"Refugee","Mean with income",17200
2004,"Refugee","Mean with income",17200
2005,"Refugee","Mean with income",18000
2006,"Refugee","Mean with income",16500
2007,"Refugee","Mean with income",16600
2008,"Refugee","Mean with income",16400
2009,"Refugee","Mean with income",16300
2010,"Refugee","Mean with income",17500
2011,"Refugee","Mean with income",17600
2012,"Refugee","Mean with income",18400
2013,"Refugee","Mean with income",17700
2014,"Refugee","Mean with income",18300
2015,"Refugee","Mean with income",16500
2016,"Refugee","Mean with income",13100
2001,"Refugee","Median with income",11900
2002,"Refugee","Median with income",11900
2003,"Refugee","Median with income",13600
2004,"Refugee","Median with income",13300
2005,"Refugee","Median with income",14400
2006,"Refugee","Median with income",12600
2007,"Refugee","Median with income",12100
2008,"Refugee","Median with income",11600
2009,"Refugee","Median with income",11500
2010,"Refugee","Median with income",13000
2011,"Refugee","Median with income",13300
2012,"Refugee","Median with income",13700
2013,"Refugee","Median with income",12800
2014,"Refugee","Median with income",13000
2015,"Refugee","Median with income",11100
2016,"Refugee","Median with income",8800
2001,"Government-assisted refugee","Total count",4835
2002,"Government-assisted refugee","Total count",4200
2003,"Government-assisted refugee","Total count",4100
2004,"Government-assisted refugee","Total count",3945
2005,"Government-assisted refugee","Total count",3870
2006,"Government-assisted refugee","Total count",3940
2007,"Government-assisted refugee","Total count",4075
2008,"Government-assisted refugee","Total count",3970
2009,"Government-assisted refugee","Total count",4180
2010,"Government-assisted refugee","Total count",4090
2011,"Government-assisted refugee","Total count",4145
2012,"Government-assisted refugee","Total count",3085
2013,"Government-assisted refugee","Total count",3305
2014,"Government-assisted refugee","Total count",4405
2015,"Government-assisted refugee","Total count",4930
2016,"Government-assisted refugee","Total count",9970
2001,"Government-assisted refugee","Total with income",1100
2002,"Government-assisted refugee","Total with income",640
2003,"Government-assisted refugee","Total with income",585
2004,"Government-assisted refugee","Total with income",740
2005,"Government-assisted refugee","Total with income",640
2006,"Government-assisted refugee","Total with income",770
2007,"Government-assisted refugee","Total with income",615
2008,"Government-assisted refugee","Total with income",605
2009,"Government-assisted refugee","Total with income",430
2010,"Government-assisted refugee","Total with income",355
2011,"Government-assisted refugee","Total with income",330
2012,"Government-assisted refugee","Total with income",300
2013,"Government-assisted refugee","Total with income",385
2014,"Government-assisted refugee","Total with income",435
2015,"Government-assisted refugee","Total with income",450
2016,"Government-assisted refugee","Total with income",820
2001,"Government-assisted refugee","Mean with income",6900
2002,"Government-assisted refugee","Mean with income",4900
2003,"Government-assisted refugee","Mean with income",4700
2004,"Government-assisted refugee","Mean with income",4900
2005,"Government-assisted refugee","Mean with income",5700
2006,"Government-assisted refugee","Mean with income",5200
2007,"Government-assisted refugee","Mean with income",4300
2008,"Government-assisted refugee","Mean with income",5200
2009,"Government-assisted refugee","Mean with income",3900
2010,"Government-assisted refugee","Mean with income",4300
2011,"Government-assisted refugee","Mean with income",4300
2012,"Government-assisted refugee","Mean with income",5600
2013,"Government-assisted refugee","Mean with income",5500
2014,"Government-assisted refugee","Mean with income",5000
2015,"Government-assisted refugee","Mean with income",5200
2016,"Government-assisted refugee","Mean with income",4100
2001,"Government-assisted refugee","Median with income",3400
2002,"Government-assisted refugee","Median with income",2700
2003,"Government-assisted refugee","Median with income",2600
2004,"Government-assisted refugee","Median with income",2800
2005,"Government-assisted refugee","Median with income",3100
2006,"Government-assisted refugee","Median with income",3100
2007,"Government-assisted refugee","Median with income",2500
2008,"Government-assisted refugee","Median with income",3000
2009,"Government-assisted refugee","Median with income",1900
2010,"Government-assisted refugee","Median with income",2800
2011,"Government-assisted refugee","Median with income",2200
2012,"Government-assisted refugee","Median with income",3000
2013,"Government-assisted refugee","Median with income",2600
2014,"Government-assisted refugee","Median with income",2900
2015,"Government-assisted refugee","Median with income",3000
2016,"Government-assisted refugee","Median with income",2200
2001,"Privately sponsored refugee","Total count",1935
2002,"Privately sponsored refugee","Total count",1750
2003,"Privately sponsored refugee","Total count",1830
2004,"Privately sponsored refugee","Total count",1855
2005,"Privately sponsored refugee","Total count",1710
2006,"Privately sponsored refugee","Total count",1955
2007,"Privately sponsored refugee","Total count",2145
2008,"Privately sponsored refugee","Total count",2135
2009,"Privately sponsored refugee","Total count",3060
2010,"Privately sponsored refugee","Total count",2940
2011,"Privately sponsored refugee","Total count",3480
2012,"Privately sponsored refugee","Total count",2495
2013,"Privately sponsored refugee","Total count",4080
2014,"Privately sponsored refugee","Total count",3135
2015,"Privately sponsored refugee","Total count",6110
2016,"Privately sponsored refugee","Total count",11440
2001,"Privately sponsored refugee","Total with income",1025
2002,"Privately sponsored refugee","Total with income",935
2003,"Privately sponsored refugee","Total with income",1040
2004,"Privately sponsored refugee","Total with income",1255
2005,"Privately sponsored refugee","Total with income",1090
2006,"Privately sponsored refugee","Total with income",1245
2007,"Privately sponsored refugee","Total with income",1365
2008,"Privately sponsored refugee","Total with income",1250
2009,"Privately sponsored refugee","Total with income",1435
2010,"Privately sponsored refugee","Total with income",1250
2011,"Privately sponsored refugee","Total with income",1695
2012,"Privately sponsored refugee","Total with income",1215
2013,"Privately sponsored refugee","Total with income",1875
2014,"Privately sponsored refugee","Total with income",1535
2015,"Privately sponsored refugee","Total with income",2080
2016,"Privately sponsored refugee","Total with income",5495
2001,"Privately sponsored refugee","Mean with income",7600
2002,"Privately sponsored refugee","Mean with income",8700
2003,"Privately sponsored refugee","Mean with income",6800
2004,"Privately sponsored refugee","Mean with income",9200
2005,"Privately sponsored refugee","Mean with income",8500
2006,"Privately sponsored refugee","Mean with income",9700
2007,"Privately sponsored refugee","Mean with income",8800
2008,"Privately sponsored refugee","Mean with income",8900
2009,"Privately sponsored refugee","Mean with income",7600
2010,"Privately sponsored refugee","Mean with income",8200
2011,"Privately sponsored refugee","Mean with income",8400
2012,"Privately sponsored refugee","Mean with income",8200
2013,"Privately sponsored refugee","Mean with income",8500
2014,"Privately sponsored refugee","Mean with income",8900
2015,"Privately sponsored refugee","Mean with income",8400
2016,"Privately sponsored refugee","Mean with income",9500
2001,"Privately sponsored refugee","Median with income",5900
2002,"Privately sponsored refugee","Median with income",6700
2003,"Privately sponsored refugee","Median with income",5100
2004,"Privately sponsored refugee","Median with income",7500
2005,"Privately sponsored refugee","Median with income",6600
2006,"Privately sponsored refugee","Median with income",7200
2007,"Privately sponsored refugee","Median with income",6400
2008,"Privately sponsored refugee","Median with income",6500
2009,"Privately sponsored refugee","Median with income",5900
2010,"Privately sponsored refugee","Median with income",6400
2011,"Privately sponsored refugee","Median with income",6800
2012,"Privately sponsored refugee","Median with income",5800
2013,"Privately sponsored refugee","Median with income",5800
2014,"Privately sponsored refugee","Median with income",6400
2015,"Privately sponsored refugee","Median with income",6200
2016,"Privately sponsored refugee","Median with income",7300
2001,"Blended visa office-referred program","Total count",NA
2002,"Blended visa office-referred program","Total count",NA
2003,"Blended visa office-referred program","Total count",NA
2004,"Blended visa office-referred program","Total count",NA
2005,"Blended visa office-referred program","Total count",NA
2006,"Blended visa office-referred program","Total count",NA
2007,"Blended visa office-referred program","Total count",NA
2008,"Blended visa office-referred program","Total count",NA
2009,"Blended visa office-referred program","Total count",NA
2010,"Blended visa office-referred program","Total count",NA
2011,"Blended visa office-referred program","Total count",NA
2012,"Blended visa office-referred program","Total count",NA
2013,"Blended visa office-referred program","Total count",NA
2014,"Blended visa office-referred program","Total count",105
2015,"Blended visa office-referred program","Total count",360
2016,"Blended visa office-referred program","Total count",1910
2001,"Blended visa office-referred program","Total with income",NA
2002,"Blended visa office-referred program","Total with income",NA
2003,"Blended visa office-referred program","Total with income",NA
2004,"Blended visa office-referred program","Total with income",NA
2005,"Blended visa office-referred program","Total with income",NA
2006,"Blended visa office-referred program","Total with income",NA
2007,"Blended visa office-referred program","Total with income",NA
2008,"Blended visa office-referred program","Total with income",NA
2009,"Blended visa office-referred program","Total with income",NA
2010,"Blended visa office-referred program","Total with income",NA
2011,"Blended visa office-referred program","Total with income",NA
2012,"Blended visa office-referred program","Total with income",NA
2013,"Blended visa office-referred program","Total with income",NA
2014,"Blended visa office-referred program","Total with income",35
2015,"Blended visa office-referred program","Total with income",25
2016,"Blended visa office-referred program","Total with income",410
2001,"Blended visa office-referred program","Mean with income",NA
2002,"Blended visa office-referred program","Mean with income",NA
2003,"Blended visa office-referred program","Mean with income",NA
2004,"Blended visa office-referred program","Mean with income",NA
2005,"Blended visa office-referred program","Mean with income",NA
2006,"Blended visa office-referred program","Mean with income",NA
2007,"Blended visa office-referred program","Mean with income",NA
2008,"Blended visa office-referred program","Mean with income",NA
2009,"Blended visa office-referred program","Mean with income",NA
2010,"Blended visa office-referred program","Mean with income",NA
2011,"Blended visa office-referred program","Mean with income",NA
2012,"Blended visa office-referred program","Mean with income",NA
2013,"Blended visa office-referred program","Mean with income",NA
2014,"Blended visa office-referred program","Mean with income",11100
2015,"Blended visa office-referred program","Mean with income",3000
2016,"Blended visa office-referred program","Mean with income",5100
2001,"Blended visa office-referred program","Median with income",NA
2002,"Blended visa office-referred program","Median with income",NA
2003,"Blended visa office-referred program","Median with income",NA
2004,"Blended visa office-referred program","Median with income",NA
2005,"Blended visa office-referred program","Median with income",NA
2006,"Blended visa office-referred program","Median with income",NA
2007,"Blended visa office-referred program","Median with income",NA
2008,"Blended visa office-referred program","Median with income",NA
2009,"Blended visa office-referred program","Median with income",NA
2010,"Blended visa office-referred program","Median with income",NA
2011,"Blended visa office-referred program","Median with income",NA
2012,"Blended visa office-referred program","Median with income",NA
2013,"Blended visa office-referred program","Median with income",NA
2014,"Blended visa office-referred program","Median with income",5600
2015,"Blended visa office-referred program","Median with income",1800
2016,"Blended visa office-referred program","Median with income",3300
2001,"Protected person in Canada","Total count",8780
2002,"Protected person in Canada","Total count",7885
2003,"Protected person in Canada","Total count",8775
2004,"Protected person in Canada","Total count",12165
2005,"Protected person in Canada","Total count",15280
2006,"Protected person in Canada","Total count",12165
2007,"Protected person in Canada","Total count",8880
2008,"Protected person in Canada","Total count",5405
2009,"Protected person in Canada","Total count",5680
2010,"Protected person in Canada","Total count",7205
2011,"Protected person in Canada","Total count",8530
2012,"Protected person in Canada","Total count",6725
2013,"Protected person in Canada","Total count",6430
2014,"Protected person in Canada","Total count",6120
2015,"Protected person in Canada","Total count",6555
2016,"Protected person in Canada","Total count",6300
2001,"Protected person in Canada","Total with income",5500
2002,"Protected person in Canada","Total with income",5070
2003,"Protected person in Canada","Total with income",6035
2004,"Protected person in Canada","Total with income",8575
2005,"Protected person in Canada","Total with income",10855
2006,"Protected person in Canada","Total with income",8100
2007,"Protected person in Canada","Total with income",5875
2008,"Protected person in Canada","Total with income",3670
2009,"Protected person in Canada","Total with income",3590
2010,"Protected person in Canada","Total with income",4690
2011,"Protected person in Canada","Total with income",5610
2012,"Protected person in Canada","Total with income",4525
2013,"Protected person in Canada","Total with income",4390
2014,"Protected person in Canada","Total with income",4105
2015,"Protected person in Canada","Total with income",4015
2016,"Protected person in Canada","Total with income",3930
2001,"Protected person in Canada","Mean with income",19700
2002,"Protected person in Canada","Mean with income",19200
2003,"Protected person in Canada","Mean with income",21000
2004,"Protected person in Canada","Mean with income",20600
2005,"Protected person in Canada","Mean with income",20300
2006,"Protected person in Canada","Mean with income",19700
2007,"Protected person in Canada","Mean with income",20700
2008,"Protected person in Canada","Mean with income",21900
2009,"Protected person in Canada","Mean with income",22100
2010,"Protected person in Canada","Mean with income",21700
2011,"Protected person in Canada","Mean with income",21800
2012,"Protected person in Canada","Mean with income",23200
2013,"Protected person in Canada","Mean with income",23700
2014,"Protected person in Canada","Mean with income",24100
2015,"Protected person in Canada","Mean with income",22600
2016,"Protected person in Canada","Mean with income",21200
2001,"Protected person in Canada","Median with income",17400
2002,"Protected person in Canada","Median with income",16400
2003,"Protected person in Canada","Median with income",18700
2004,"Protected person in Canada","Median with income",18000
2005,"Protected person in Canada","Median with income",17700
2006,"Protected person in Canada","Median with income",16900
2007,"Protected person in Canada","Median with income",17500
2008,"Protected person in Canada","Median with income",19100
2009,"Protected person in Canada","Median with income",19100
2010,"Protected person in Canada","Median with income",18200
2011,"Protected person in Canada","Median with income",19200
2012,"Protected person in Canada","Median with income",20000
2013,"Protected person in Canada","Median with income",20100
2014,"Protected person in Canada","Median with income",20000
2015,"Protected person in Canada","Median with income",18900
2016,"Protected person in Canada","Median with income",17300
2001,"Dependent abroad of a protected person in Canada","Total count",1575
2002,"Dependent abroad of a protected person in Canada","Total count",1690
2003,"Dependent abroad of a protected person in Canada","Total count",1705
2004,"Dependent abroad of a protected person in Canada","Total count",2800
2005,"Dependent abroad of a protected person in Canada","Total count",2390
2006,"Dependent abroad of a protected person in Canada","Total count",2655
2007,"Dependent abroad of a protected person in Canada","Total count",2355
2008,"Dependent abroad of a protected person in Canada","Total count",1860
2009,"Dependent abroad of a protected person in Canada","Total count",1410
2010,"Dependent abroad of a protected person in Canada","Total count",1470
2011,"Dependent abroad of a protected person in Canada","Total count",1680
2012,"Dependent abroad of a protected person in Canada","Total count",2030
2013,"Dependent abroad of a protected person in Canada","Total count",1615
2014,"Dependent abroad of a protected person in Canada","Total count",1500
2015,"Dependent abroad of a protected person in Canada","Total count",1555
2016,"Dependent abroad of a protected person in Canada","Total count",1655
2001,"Dependent abroad of a protected person in Canada","Total with income",580
2002,"Dependent abroad of a protected person in Canada","Total with income",545
2003,"Dependent abroad of a protected person in Canada","Total with income",535
2004,"Dependent abroad of a protected person in Canada","Total with income",1080
2005,"Dependent abroad of a protected person in Canada","Total with income",850
2006,"Dependent abroad of a protected person in Canada","Total with income",1190
2007,"Dependent abroad of a protected person in Canada","Total with income",1055
2008,"Dependent abroad of a protected person in Canada","Total with income",790
2009,"Dependent abroad of a protected person in Canada","Total with income",565
2010,"Dependent abroad of a protected person in Canada","Total with income",595
2011,"Dependent abroad of a protected person in Canada","Total with income",605
2012,"Dependent abroad of a protected person in Canada","Total with income",805
2013,"Dependent abroad of a protected person in Canada","Total with income",730
2014,"Dependent abroad of a protected person in Canada","Total with income",690
2015,"Dependent abroad of a protected person in Canada","Total with income",670
2016,"Dependent abroad of a protected person in Canada","Total with income",610
2001,"Dependent abroad of a protected person in Canada","Mean with income",9600
2002,"Dependent abroad of a protected person in Canada","Mean with income",7900
2003,"Dependent abroad of a protected person in Canada","Mean with income",8100
2004,"Dependent abroad of a protected person in Canada","Mean with income",7900
2005,"Dependent abroad of a protected person in Canada","Mean with income",9700
2006,"Dependent abroad of a protected person in Canada","Mean with income",8700
2007,"Dependent abroad of a protected person in Canada","Mean with income",10500
2008,"Dependent abroad of a protected person in Canada","Mean with income",10700
2009,"Dependent abroad of a protected person in Canada","Mean with income",10500
2010,"Dependent abroad of a protected person in Canada","Mean with income",11300
2011,"Dependent abroad of a protected person in Canada","Mean with income",11200
2012,"Dependent abroad of a protected person in Canada","Mean with income",11600
2013,"Dependent abroad of a protected person in Canada","Mean with income",11700
2014,"Dependent abroad of a protected person in Canada","Mean with income",14000
2015,"Dependent abroad of a protected person in Canada","Mean with income",12900
2016,"Dependent abroad of a protected person in Canada","Mean with income",11400
2001,"Dependent abroad of a protected person in Canada","Median with income",6800
2002,"Dependent abroad of a protected person in Canada","Median with income",5200
2003,"Dependent abroad of a protected person in Canada","Median with income",5000
2004,"Dependent abroad of a protected person in Canada","Median with income",5400
2005,"Dependent abroad of a protected person in Canada","Median with income",5700
2006,"Dependent abroad of a protected person in Canada","Median with income",6000
2007,"Dependent abroad of a protected person in Canada","Median with income",6400
2008,"Dependent abroad of a protected person in Canada","Median with income",6800
2009,"Dependent abroad of a protected person in Canada","Median with income",6600
2010,"Dependent abroad of a protected person in Canada","Median with income",6800
2011,"Dependent abroad of a protected person in Canada","Median with income",6800
2012,"Dependent abroad of a protected person in Canada","Median with income",7000
2013,"Dependent abroad of a protected person in Canada","Median with income",7600
2014,"Dependent abroad of a protected person in Canada","Median with income",7500
2015,"Dependent abroad of a protected person in Canada","Median with income",7600
2016,"Dependent abroad of a protected person in Canada","Median with income",7100
2001,"Other immigrant","Total count",85
2002,"Other immigrant","Total count",65
2003,"Other immigrant","Total count",965
2004,"Other immigrant","Total count",3530
2005,"Other immigrant","Total count",3925
2006,"Other immigrant","Total count",3935
2007,"Other immigrant","Total count",3730
2008,"Other immigrant","Total count",2950
2009,"Other immigrant","Total count",2695
2010,"Other immigrant","Total count",2585
2011,"Other immigrant","Total count",2405
2012,"Other immigrant","Total count",2785
2013,"Other immigrant","Total count",2250
2014,"Other immigrant","Total count",2345
2015,"Other immigrant","Total count",2795
2016,"Other immigrant","Total count",2525
2001,"Other immigrant","Total with income",70
2002,"Other immigrant","Total with income",45
2003,"Other immigrant","Total with income",630
2004,"Other immigrant","Total with income",2650
2005,"Other immigrant","Total with income",2925
2006,"Other immigrant","Total with income",2940
2007,"Other immigrant","Total with income",2805
2008,"Other immigrant","Total with income",2145
2009,"Other immigrant","Total with income",1985
2010,"Other immigrant","Total with income",1935
2011,"Other immigrant","Total with income",1755
2012,"Other immigrant","Total with income",1945
2013,"Other immigrant","Total with income",1735
2014,"Other immigrant","Total with income",1895
2015,"Other immigrant","Total with income",2275
2016,"Other immigrant","Total with income",2050
2001,"Other immigrant","Mean with income",21900
2002,"Other immigrant","Mean with income",18300
2003,"Other immigrant","Mean with income",20800
2004,"Other immigrant","Mean with income",22200
2005,"Other immigrant","Mean with income",21300
2006,"Other immigrant","Mean with income",21000
2007,"Other immigrant","Mean with income",22100
2008,"Other immigrant","Mean with income",21700
2009,"Other immigrant","Mean with income",23000
2010,"Other immigrant","Mean with income",25400
2011,"Other immigrant","Mean with income",23600
2012,"Other immigrant","Mean with income",24300
2013,"Other immigrant","Mean with income",26100
2014,"Other immigrant","Mean with income",27800
2015,"Other immigrant","Mean with income",26500
2016,"Other immigrant","Mean with income",26100
2001,"Other immigrant","Median with income",18500
2002,"Other immigrant","Median with income",14000
2003,"Other immigrant","Median with income",15000
2004,"Other immigrant","Median with income",17200
2005,"Other immigrant","Median with income",17900
2006,"Other immigrant","Median with income",17200
2007,"Other immigrant","Median with income",18500
2008,"Other immigrant","Median with income",17400
2009,"Other immigrant","Median with income",18900
2010,"Other immigrant","Median with income",21100
2011,"Other immigrant","Median with income",19900
2012,"Other immigrant","Median with income",19700
2013,"Other immigrant","Median with income",21400
2014,"Other immigrant","Median with income",23000
2015,"Other immigrant","Median with income",23200
2016,"Other immigrant","Median with income",23500
